"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"COEXPUS","194913","90.6","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195013","95.405","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195113","78.367","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195213","72.94","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195313","54.605","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195413","37.258","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195513","31.701","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195613","78.208","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195713","137.652","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195813","11.907","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","195913","6.921","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196013","8.434","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196113","8.841","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196213","4.904","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196313","4.652","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196413","3.724","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196513","3.005","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196613","4.047","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196713","72.715","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196813","4.923","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","196913","3.934","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197013","13.674","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197113","1.378","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197213","0.511","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197301","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197302","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197303","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197304","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197305","4.129","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197306","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197307","7.484","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197308","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197309","5.333","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197310","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197311","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197312","5.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197313","1.91","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197401","17.226","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197402","10.036","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197403","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197404","0.5","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197405","6.452","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197406","1.467","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197407","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197408","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197409","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197410","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197411","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197412","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197413","2.942","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197501","26.968","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197502","33.643","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197503","11.258","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197504","0.633","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197505","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197506","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197507","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197508","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197509","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197510","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","197511","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
