"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"CLRCPUS","1949","13","52407","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1950","13","51562.35","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1951","13","47719.57","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1952","13","44282.4","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1953","13","39604","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1954","13","35229.27","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1955","13","35589.84","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1956","13","34672.86","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1957","13","26971.45","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1958","13","27318.96","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1959","13","23667.48","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1960","13","24159.32","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1961","13","22006.41","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1962","13","21544.44","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1963","13","18243.32","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1964","13","15755.7","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1965","13","14635.32","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1966","13","14584.59","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1967","13","12616.38","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1968","13","11190.48","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1969","13","10569.44","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1970","13","9023.84","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1971","13","7448.49","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1972","13","5034.44","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1973","01","520.96","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1973","02","446.22","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1973","03","350.39","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1973","04","229.4","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1973","05","232.73","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
"CLRCPUS","1973","06","233.47","1","Coal Consumed by the Residential Sector","Thousand Short Tons"
