"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"CLEXBUS","1949","13","0.877294","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1950","13","0.786496","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1951","13","1.682779","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1952","13","1.40298","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1953","13","0.980726","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1954","13","0.910509","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1955","13","1.464521","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1956","13","1.984106","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1957","13","2.174059","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1958","13","1.415843","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1959","13","1.051257","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1960","13","1.02317","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1961","13","0.980641","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1962","13","1.08291","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1963","13","1.356399","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1964","13","1.335161","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1965","13","1.376486","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1966","13","1.350634","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1967","13","1.352369","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1968","13","1.380367","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1969","13","1.534224","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1970","13","1.9355","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1971","13","1.546119","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1972","13","1.530788","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1973","01","0.079655","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1973","02","0.071118","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1973","03","0.092288","1","Coal Exports","Quadrillion Btu"
