"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"CLIMBUS","1949","13","0.007875","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1950","13","0.009132","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1951","13","0.007986","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1952","13","0.007287","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1953","13","0.006462","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1954","13","0.005127","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1955","13","0.008425","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1956","13","0.0089","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1957","13","0.0092","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1958","13","0.007777","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1959","13","0.009451","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1960","13","0.006551","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1961","13","0.004125","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1962","13","0.006003","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1963","13","0.006802","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1964","13","0.007325","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1965","13","0.0046","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1966","13","0.00445","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1967","13","0.005675","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1968","13","0.0056","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1969","13","0.002725","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1970","13","0.0009","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1971","13","0.002775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1972","13","0.001175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","01","5.0E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","02","5.0E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","03","7.5E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","04","0.0001","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","05","0.00025","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","06","7.5E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","07","5.0E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","08","0.0002","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","09","0.0006","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","10","0.000975","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","11","0.000375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","12","0.000375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1973","13","0.003175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","01","0.00275","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","02","0.004175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","03","0.001075","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","04","0.00285","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","05","0.0023","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","06","0.00175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","07","0.003","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","08","0.01225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","09","0.003225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","10","0.006625","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","11","0.008225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","12","0.003775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1974","13","0.052","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","01","0.002275","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","02","0.00375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","03","0.00495","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","04","0.00165","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","05","0.0024","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","06","0.000925","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","07","7.5E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","08","0.003225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","09","0.00105","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","10","2.5E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","11","0.00095","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","12","0.002225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1975","13","0.0235","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","01","0.002575","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","02","0.00285","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","03","0.001","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","04","0.0033","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","05","0.00225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","06","0.0048","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","07","0.000975","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","08","0.00225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","09","0.001625","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","10","0.00235","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","11","0.003725","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","12","0.002375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1976","13","0.030075","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","01","0.003075","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","02","0.001875","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","03","0.000775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","04","0.00425","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","05","0.00235","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","06","0.0023","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","07","0.0028","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","08","0.0025","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","09","0.004375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","10","0.00685","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","11","0.00425","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","12","0.005775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1977","13","0.041175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","01","0.003475","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","02","0.003975","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","03","0.005775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","04","0.010425","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","05","0.008075","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","06","0.007275","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","07","0.007825","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","08","0.005675","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","09","0.0049","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","10","0.009275","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","11","0.00245","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","12","0.0047","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1978","13","0.073825","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","01","0.00465","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","02","0.006311","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","03","0.003074","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","04","0.004028","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","05","0.002791","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","06","0.005224","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","07","0.002204","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","08","0.008001","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","09","0.00449","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","10","0.003792","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","11","0.003255","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","12","0.003654","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1979","13","0.051474","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","01","0.003017","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","02","0.004834","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","03","0.002326","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","04","0.001581","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","05","0.005177","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","06","0.002601","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","07","0.000798","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","08","0.004142","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","09","5.7E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","10","0.003487","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","11","6.7E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","12","0.001753","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1980","13","0.02984","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1981","01","0.000884","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1981","02","0.002602","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1981","03","0.001914","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1981","04","0.001564","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1981","05","0.002413","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","1981","06","0.003462","1","Coal Imports","Quadrillion Btu"
