"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"LNIMPAG","1949","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1950","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1951","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1952","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1953","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1954","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1955","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1956","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1957","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1958","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1959","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1960","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1961","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1962","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1963","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1964","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1965","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1966","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1967","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1968","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1969","13","0","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1970","13","0.757","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1971","13","1.433","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1972","13","2.032","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
"LNIMPAG","1973","01","0.078","1","Natural Gas Imports from Algeria","Billion Cubic Feet"
