"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"COEXPUS","1949","13","90.6","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1950","13","95.405","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1951","13","78.367","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1952","13","72.94","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1953","13","54.605","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1954","13","37.258","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1955","13","31.701","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1956","13","78.208","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1957","13","137.652","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1958","13","11.907","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1959","13","6.921","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1960","13","8.434","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1961","13","8.841","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1962","13","4.904","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1963","13","4.652","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1964","13","3.724","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1965","13","3.005","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1966","13","4.047","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1967","13","72.715","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1968","13","4.923","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1969","13","3.934","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1970","13","13.674","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1971","13","1.378","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1972","13","0.511","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","01","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","02","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","03","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","04","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","05","4.129","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","06","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","07","7.484","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","08","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","09","5.333","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","10","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","11","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","12","5.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1973","13","1.91","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","01","17.226","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","02","10.036","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","03","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","04","0.5","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","05","6.452","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","06","1.467","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","07","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","08","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","09","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","10","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","11","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","12","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1974","13","2.942","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1975","01","26.968","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1975","02","33.643","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1975","03","11.258","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1975","04","0.633","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1975","05","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1975","06","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1975","07","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1975","08","No Data Reported","1","Crude Oil Exports","Thousand Barrels per Day"
