"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"COQIPUS","1949","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1950","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1951","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1952","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1953","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1954","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1955","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1956","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1957","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1958","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1959","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1960","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1961","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1962","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1963","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1964","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1965","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1966","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1967","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1968","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1969","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1970","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1971","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1972","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","01","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","02","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","03","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","04","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","05","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","06","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","07","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","08","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","09","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","10","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","11","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","12","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1973","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","01","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","02","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","03","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","04","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","05","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","06","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","07","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","08","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","09","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","10","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","11","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","12","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
"COQIPUS","1974","13","Not Applicable","1","Crude Oil Imports, SPR","Thousand Barrels per Day"
