"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"TETCBUS","1949","13","31.967775","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1950","13","34.598567","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1951","13","36.953661","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1952","13","36.726037","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1953","13","37.640598","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1954","13","36.61354","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1955","13","40.178285","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1956","13","41.721757","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1957","13","41.753909","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1958","13","41.60928","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1959","13","43.422965","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1960","13","45.040732","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1961","13","45.690782","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1962","13","47.775047","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1963","13","49.588632","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1964","13","51.755425","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1965","13","53.953222","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1966","13","56.949167","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1967","13","58.89482","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1968","13","62.40148","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1969","13","65.596259","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1970","13","67.816828","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1971","13","69.260271","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1972","13","72.660036","1","Total Primary Energy Consumption","Quadrillion Btu"
"TETCBUS","1973","13","75.65228","1","Total Primary Energy Consumption","Quadrillion Btu"
