"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"WDPRBUS","1949","13","1549.262","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1950","13","1562.307","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1951","13","1534.669","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1952","13","1474.369","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1953","13","1418.601","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1954","13","1394.327","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1955","13","1424.143","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1956","13","1415.871","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1957","13","1333.581","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1958","13","1323.123","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1959","13","1352.874","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1960","13","1319.87","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1961","13","1294.762","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1962","13","1300.242","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1963","13","1323.316","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1964","13","1336.802","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1965","13","1334.761","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1966","13","1368.985","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1967","13","1340.249","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1968","13","1419.495","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1969","13","1440.487","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1970","13","1428.649","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1971","13","1430.229","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1972","13","1500.992","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","01","129.63","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","02","117.194","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","03","129.763","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","04","125.462","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","05","129.624","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","06","125.435","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","07","129.616","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","08","129.734","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","09","125.603","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","10","129.769","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","11","125.492","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","12","129.69","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1973","13","1527.012","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","01","130.655","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","02","117.949","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","03","130.579","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","04","126.441","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","05","130.659","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","06","126.432","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","07","130.548","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","08","130.574","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","09","126.454","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","10","130.562","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","11","126.352","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","12","130.555","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1974","13","1537.76","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","01","127.128","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","02","114.829","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","03","127.127","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","04","123.022","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","05","127.13","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","06","123.048","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","07","127.125","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","08","127.136","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","09","123.052","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","10","127.151","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","11","123.039","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","12","127.138","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1975","13","1496.928","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","01","144.91","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","02","135.559","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","03","144.914","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","04","140.237","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","05","144.913","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","06","140.244","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","07","144.898","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","08","144.918","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","09","140.271","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","10","144.94","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","11","140.481","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","12","145.201","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1976","13","1711.484","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","01","156.074","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","02","141.046","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","03","156.072","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","04","151.013","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","05","156.032","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","06","150.997","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","07","155.742","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","08","155.909","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","09","150.938","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","10","155.998","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","11","150.888","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","12","155.816","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1977","13","1836.524","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","01","173.005","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","02","156.277","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","03","173.026","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","04","167.244","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","05","172.806","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","06","167.239","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","07","172.825","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","08","173.009","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","09","167.32","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","10","173.027","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","11","167.438","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","12","172.935","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1978","13","2036.15","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","01","182.453","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","02","164.927","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","03","182.64","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","04","176.707","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","05","182.561","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","06","176.662","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","07","182.536","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","08","182.638","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","09","176.766","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","10","182.63","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","11","176.767","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","12","182.568","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1979","13","2149.854","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","01","209.613","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","02","196.117","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","03","209.598","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","04","202.768","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","05","209.394","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","06","202.609","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","07","209.449","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","08","209.544","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","09","202.79","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","10","209.602","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","11","202.831","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","12","209.546","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1980","13","2473.861","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","01","211.988","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","02","191.528","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","03","212.042","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","04","205.195","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","05","211.883","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","06","204.976","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","07","211.838","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","08","211.846","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","09","205.148","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","10","212.004","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","11","205.166","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","12","211.948","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1981","13","2495.563","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","01","213.205","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","02","192.598","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","03","213.132","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","04","206.24","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","05","213.101","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","06","206.255","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","07","213.146","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","08","213.158","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","09","206.364","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","10","213.332","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","11","206.347","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","12","213.17","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1982","13","2510.048","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","01","227.926","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","02","205.87","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","03","227.938","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","04","220.561","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","05","227.897","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","06","220.582","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","07","227.933","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","08","227.978","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","09","220.641","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","10","228.031","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","11","220.719","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","12","228.194","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1983","13","2684.271","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","01","227.551","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","02","212.673","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","03","227.378","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","04","219.904","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","05","227.242","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","06","219.914","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","07","227.458","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","08","227.481","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","09","220.21","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","10","227.64","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","11","220.555","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","12","227.811","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1984","13","2685.817","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","01","228.394","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","02","206.294","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","03","228.374","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","04","220.463","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","05","227.858","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","06","220.471","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","07","228.091","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","08","228.276","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","09","221.006","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","10","228.287","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","11","220.962","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","12","228.29","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1985","13","2686.765","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","01","217.84","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","02","196.536","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","03","217.379","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","04","210.372","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","05","217.424","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","06","210.444","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","07","217.598","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","08","217.76","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","09","210.699","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","1986","10","217.574","1","Wood Energy Production","Trillion Btu"
